aip,entity,
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q194112, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q37221, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q669262, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q336286, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q2091584, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q194112, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q18373, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q6203, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q1208648, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q5155473, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q128751, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q42848, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q121769, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q82753, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q37221, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q5155473, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q188889, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q194112, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q37221, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q5155473, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q336286, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q2091584, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q194112, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q18373, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q6203, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q172008, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q669262, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q128751, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q42848, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q121769, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q82753, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q133673, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q669262, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q194112, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q13649246, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q25235, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q188889, 
